question,short,answer_categories,branch
Please choose the language / Bitte Sprache wählen,language_select,language,no
In welcher Stadt leben Sie?,city,de_cities,no
In welchem Bezirk leben Sie?,vienna_district,V_dist,no
Bitte geben Sie Ihren Straßennamen an (optional)..1,vienna_street,NA,no
In welchem Bezirk leben Sie?.1,graz_district,G_dist,no
Bitte geben Sie Ihren Straßennamen an (optional)..2,graz_street,NA,no
"Bitte geben Sie den Namen des Landes an, in dem Sie leben.",country,NA,no
"Bitte geben Sie den Namen der Stadt an, in der Sie leben.",city_other,NA,no
Bitte geben Sie die Bezirksnummer oder die Postleitzahl Ihres Wohnsitzes an.,zip_other,NA,no
Bitte geben Sie Ihren Straßennamen an (optional).,other_street,NA,no
"Wie oft pro Woche verlassen Sie im Durchschnitt für jede der folgenden Aktivitäten ihr Haus? [Pendeln zur Arbeit, Schule oder Universität]",freq_work,de_freq,no
"Wie oft pro Woche verlassen Sie im Durchschnitt für jede der folgenden Aktivitäten ihr Haus? [Zugang zu Dienstleistungen (z. B. Lebensmitteleinkauf, Sport oder medizinische Einrichtungen)]",freq_services,de_freq,no
"Wie oft pro Woche verlassen Sie im Durchschnitt für jede der folgenden Aktivitäten ihr Haus? [Für Freizeitaktivitäten (z. B. Treffen mit Freunden und Familie, Sport)]",freq_leisure,de_freq,no
"Wenn Sie andere Tätigkeiten ausüben, die nicht in die obigen Kategorien passen, geben Sie diese bitte an und geben Sie an, wie oft sie pro Woche stattfinden.",freq_oth,NA,no
"Bitte geben Sie an, wie lange Sie im Durchschnitt mit jedem der folgenden Verkehrsmittel zur Arbeit, zur Schule oder zur Universität pendeln. [Gehen]",duration_work_walk,de_duration,no
"Bitte geben Sie an, wie lange Sie im Durchschnitt mit jedem der folgenden Verkehrsmittel zur Arbeit, zur Schule oder zur Universität pendeln. [Öffentliche Verkehrsmittel (z. B. Bus, Straßenbahn, U-Bahn)]",duration_work_pt,de_duration,no
